Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
S Dhawan (IND),114,-,100,16,2,114.00,2,,v Pakistan,Dubai (DICS),23 Sep 2018,
JJ Roy (ENG),114,123,89,11,4,128.08,2,,v Pakistan,Nottingham,17 May 2019,
AJ Finch (AUS),114,-,124,9,2,91.93,1,,v India,Sydney,27 Nov 2020,
Babar Azam (PAK),114,119,83,11,1,137.34,2,,v Australia,Lahore,31 Mar 2022,
Q de Kock (SA),114,176,116,10,3,98.27,1,,v New Zealand,Pune,1 Nov 2023,
JE Root (ENG),113*,-,116,8,1,97.41,1,,v India,Lord's,14 Jul 2018,
SS Iyer (IND),113*,155,111,15,0,101.80,2,,v South Africa,Ranchi,9 Oct 2022,
Saim Ayub (PAK),113*,75,62,17,3,182.25,2,,v Zimbabwe,Bulawayo,26 Nov 2024,
EJG Morgan (ENG),113,110,82,12,5,137.80,2,,v New Zealand,Nottingham,17 Jun 2015,
T Bavuma (SA),113,152,123,13,1,91.86,1,,v Ireland,Benoni,25 Sep 2016,
V Kohli (IND),113,166,106,9,1,106.60,1,,v New Zealand,Kanpur,29 Oct 2017,
LRPL Taylor (NZ),113,162,116,12,0,97.41,2,,v England,Hamilton,25 Feb 2018,
