Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Mohammad Shahzad (AFG),35,69,35,4,2,100.00,2,,v Bangladesh,Mirpur,28 Sep 2016,
Sarfaraz Ahmed (PAK),35,72,45,1,0,77.77,1,,v West Indies,Sharjah,30 Sep 2016,
TM Head (AUS),35,27,18,4,1,194.44,1,,v South Africa,Durban,5 Oct 2016,
JM Bairstow (ENG),35,87,53,1,0,66.03,2,,v Bangladesh,Mirpur,9 Oct 2016,
MR Marsh (AUS),35,43,38,2,2,92.10,2,,v South Africa,Cape Town,12 Oct 2016,
TM Head (AUS),35,62,43,4,0,81.39,2,,v South Africa,Cape Town,12 Oct 2016,
LRPL Taylor (NZ),35,85,58,1,0,60.34,1,,v India,Ranchi,26 Oct 2016,
L Ronchi (NZ),35,-,38,4,1,92.10,1,,v Bangladesh,Nelson,29 Dec 2016,
MS Wade (AUS),35,72,56,3,0,62.50,1,,v Pakistan,Melbourne,15 Jan 2017,
DA Warner (AUS),35,36,38,5,0,92.10,2,,v Pakistan,W.A.C.A,19 Jan 2017,
SW Billings (ENG),35,76,58,5,0,60.34,1,,v India,Eden Gardens,22 Jan 2017,
HM Amla (SA),35,63,43,4,0,81.39,2,,v New Zealand,Hamilton,19 Feb 2017,
WD Parnell (SA),35,53,32,2,1,109.37,1,,v New Zealand,Wellington,25 Feb 2017,
Shafiqullah (AFG),35,22,17,4,2,205.88,1,,v Ireland,Greater Noida,17 Mar 2017,
Asghar Afghan (AFG),35,85,55,5,0,63.63,1,,v Ireland,Greater Noida,22 Mar 2017,
Sabbir Rahman (BAN),35,-,34,3,1,102.94,2,,v Ireland,Dublin (Malahide),19 May 2017,
L Ronchi (NZ),35,-,31,7,0,112.90,1,,v Ireland,Dublin (Malahide),21 May 2017,
HM Amla (SA),35,69,54,3,1,64.81,1,,v India,The Oval,11 Jun 2017,
Mahmudullah (BAN),35,68,46,3,0,76.08,2,,v South Africa,Paarl,18 Oct 2017,
TWM Latham (NZ),35,56,35,3,0,100.00,1,,v Pakistan,Dunedin,13 Jan 2018,
DA Warner (AUS),35,-,40,5,0,87.50,1,,v England,Brisbane,19 Jan 2018,
Anamul Haque (BAN),35,-,37,3,1,94.59,1,,v Sri Lanka,Mirpur,19 Jan 2018,
TK Curran (ENG),35,-,35,2,1,100.00,1,,v Australia,Adelaide,26 Jan 2018,
AD Hales (ENG),35,-,47,3,1,74.46,1,,v Australia,Perth,28 Jan 2018,
S Dhawan (IND),35,53,29,6,0,120.68,2,,v South Africa,Durban,1 Feb 2018,
AK Markram (SA),35,63,49,6,0,71.42,1,,v Zimbabwe,Bloemfontein,3 Oct 2018,
S Dhawan (IND),35,-,45,5,0,77.77,2,,v West Indies,Pune,27 Oct 2018,
GJ Maxwell (AUS),35,-,27,3,0,129.62,2,,v South Africa,Hobart,11 Nov 2018,
Imam-ul-Haq (PAK),35,59,44,3,0,79.54,2,,v England,Southampton,11 May 2019,
Mushfiqur Rahim (BAN),35,-,33,5,0,106.06,2,,v Ireland,Dublin,15 May 2019,
EJG Morgan (ENG),35,56,33,1,2,106.06,1,,v Bangladesh,Cardiff,8 Jun 2019,
Rashid Khan (AFG),35,34,25,6,0,140.00,1,,v South Africa,Cardiff,15 Jun 2019,
MJ Guptill (NZ),35,68,59,5,0,59.32,2,,v South Africa,Birmingham,19 Jun 2019,
Mosaddek Hossain (BAN),35,34,24,4,0,145.83,1,,v Afghanistan,Southampton,24 Jun 2019,
Rahmat Shah (AFG),35,54,43,5,0,81.39,1,,v Pakistan,Leeds,29 Jun 2019,
MS Dhoni (IND),35,52,33,4,0,106.06,1,,v Bangladesh,Birmingham,2 Jul 2019,
Asghar Afghan (AFG),35,-,52,1,1,67.30,1,,v West Indies,Lucknow,6 Nov 2019,
AT Carey (AUS),35,-,36,6,0,97.22,1,,v India,Bengaluru,19 Jan 2020,
DA Warner (AUS),35,26,23,4,1,152.17,1,,v South Africa,Bloemfontein,4 Mar 2020,
HH Pandya (IND),35,30,16,1,4,218.75,1,,v England,Pune,26 Mar 2021,
BA Stokes (ENG),35,53,39,4,1,89.74,2,,v India,Pune,28 Mar 2021,
KH Pandya (IND),35,79,54,3,0,64.81,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,
AT Carey (AUS),35,87,50,3,0,70.00,2,,v West Indies,Bridgetown,26 Jul 2021,
T Bavuma (SA),35,62,36,3,0,97.22,2,,v India,Paarl,21 Jan 2022,
Rahmat Shah (AFG),35,-,54,3,0,64.81,1,,v Netherlands,Doha,23 Jan 2022,
Riaz Hassan (AFG),35,74,49,4,1,71.42,2,,v Bangladesh,Chattogram,28 Feb 2022,
Fakhar Zaman (PAK),35,71,48,4,0,72.91,1,,v West Indies,Multan,12 Jun 2022,
PJ Cummins (AUS),35,51,43,2,0,81.39,2,,v Sri Lanka,Colombo (RPS),21 Jun 2022,
SM Curran (ENG),35,29,18,2,3,194.44,1,,v South Africa,Manchester,22 Jul 2022,
FH Allen (NZ),35,53,38,5,1,92.10,2,,v Australia,Cairns,11 Sep 2022,
T Bavuma (SA),35,36,27,5,1,129.62,2,,v England,Kimberley,1 Feb 2023,
Tamim Iqbal (BAN),35,97,65,4,0,53.84,2,,v England,Mirpur,3 Mar 2023,
PD Salt (ENG),35,40,25,7,0,140.00,2,,v Bangladesh,Chattogram,6 Mar 2023,
Najmul Hossain Shanto (BAN),35,34,32,7,0,109.37,1,,v Ireland,Chelmsford,14 May 2023,
Litton Das (BAN),35,57,39,3,1,89.74,1,,v Ireland,Chelmsford,14 May 2023,
SA Yadav (IND),35,43,30,2,2,116.66,1,,v West Indies,Tarouba,1 Aug 2023,
TH David (AUS),35,34,25,2,3,140.00,2,,v South Africa,Centurion,15 Sep 2023,
IS Sodhi (NZ),35,62,39,0,3,89.74,1,,v Bangladesh,Mirpur,23 Sep 2023,
RA Jadeja (IND),35,48,36,3,1,97.22,2,,v Australia,Rajkot,27 Sep 2023,
T Bavuma (SA),35,84,55,2,0,63.63,1,,v Australia,Lucknow,12 Oct 2023,
AAP Atkinson (ENG),35,31,21,7,0,166.66,2,,v South Africa,Wankhede,21 Oct 2023,
Mehidy Hasan Miraz (BAN),35,51,40,5,1,87.50,2,,v Netherlands,Eden Gardens,28 Oct 2023,
RA Jadeja (IND),35,41,24,1,1,145.83,1,,v Sri Lanka,Wankhede,2 Nov 2023,
DP Conway (NZ),35,48,39,6,0,89.74,1,,v Pakistan,Bengaluru,4 Nov 2023,
MP Stoinis (AUS),35,53,32,3,2,109.37,1,,v England,Ahmedabad,4 Nov 2023,
Haris Rauf (PAK),35,27,23,3,3,152.17,2,,v England,Eden Gardens,11 Nov 2023,
Shubman Gill (IND),35,76,44,3,0,79.54,2,,v Sri Lanka,Colombo (RPS),4 Aug 2024,
RG Sharma (IND),35,32,20,6,1,175.00,2,,v Sri Lanka,Colombo (RPS),7 Aug 2024,
JG Bethell (ENG),35,44,34,3,1,102.94,1,,v Australia,Nottingham,19 Sep 2024,
HE van der Dussen (SA),35,42,39,3,0,89.74,1,,v Ireland,Abu Dhabi,4 Oct 2024,
SPD Smith (AUS),35,80,48,5,1,72.91,1,,v Pakistan,Adelaide,8 Nov 2024,
Soumya Sarkar (BAN),35,79,49,2,2,71.42,1,,v Afghanistan,Sharjah,9 Nov 2024,
TB Robinson (NZ),35,58,36,4,0,97.22,2,,v Sri Lanka,Dambulla,13 Nov 2024,
AK Markram (SA),35,69,54,1,0,64.81,1,,v Pakistan,Paarl,17 Dec 2024,
HE van der Dussen (SA),35,73,52,4,1,67.30,2,,v Pakistan,Johannesburg,22 Dec 2024,
JW Hastings (AUS),34*,33,26,3,2,130.76,1,,v England,Leeds,11 Sep 2015,
Shoaib Malik (PAK),34*,44,28,5,1,121.42,2,,v Zimbabwe,Harare,5 Oct 2015,
Mohammad Rizwan (PAK),34*,48,34,4,0,100.00,2,,v England,Cardiff,4 Sep 2016,
C de Grandhomme (NZ),34*,38,19,0,3,178.94,1,,v South Africa,Hamilton,19 Feb 2017,
C de Grandhomme (NZ),34*,53,34,2,2,100.00,2,,v South Africa,Wellington,25 Feb 2017,
Mohammad Nabi (AFG),34*,-,19,3,1,178.94,1,,v Ireland,Greater Noida,15 Mar 2017,
Mohammad Hafeez (PAK),34*,-,51,4,0,66.66,2,,v Sri Lanka,Abu Dhabi,18 Oct 2017,
AM Rahane (IND),34*,81,50,3,0,68.00,2,,v South Africa,Centurion,16 Feb 2018,
AD Hales (ENG),34*,-,45,3,0,75.55,2,,v Australia,Chester-le-Street,21 Jun 2018,
Hashmatullah Shahidi (AFG),34*,52,44,5,0,77.27,2,,v Ireland,Belfast,31 Aug 2018,
V Kohli (IND),34*,61,41,3,0,82.92,2,,v Sri Lanka,Leeds,6 Jul 2019,
Imad Wasim (PAK),34*,41,26,1,2,130.76,1,,v Zimbabwe,Rawalpindi,30 Oct 2020,
SA Yadav (IND),34*,47,36,5,0,94.44,2,,v West Indies,Ahmedabad,6 Feb 2022,
Mohammad Nabi (AFG),34*,-,47,2,1,72.34,2,,v Zimbabwe,Harare,9 Jun 2022,
JDS Neesham (NZ),34*,19,11,1,4,309.09,2,,v West Indies,Bridgetown,21 Aug 2022,
DJ Willey (ENG),34*,55,40,3,0,85.00,1,,v Australia,Adelaide,17 Nov 2022,
SA Yadav (IND),34*,-,25,2,3,136.00,1,,v New Zealand,Hamilton,27 Nov 2022,
KL Rahul (IND),34*,44,34,3,1,100.00,2,,v Bangladesh,Pune,19 Oct 2023,
DA Miller (SA),34*,26,15,1,4,226.66,1,,v Bangladesh,Wankhede,24 Oct 2023,
TWM Latham (NZ),34*,54,32,4,0,106.25,2,,v Bangladesh,Nelson,20 Dec 2023,
Gulbadin Naib (AFG),34*,30,27,3,2,125.92,2,,v South Africa,Sharjah,18 Sep 2024,
Mohammad Nabi (AFG),34*,40,27,5,0,125.92,2,,v Bangladesh,Sharjah,11 Nov 2024,
MG Bracewell (NZ),34*,48,32,5,0,106.25,2,,v Sri Lanka,Dambulla,13 Nov 2024,
DA Warner (AUS),34,58,42,2,1,80.95,1,,v New Zealand,Auckland,28 Feb 2015,
Misbah-ul-Haq (PAK),34,75,59,1,2,57.62,1,,v Australia,Adelaide,20 Mar 2015,
MJ Guptill (NZ),34,80,38,3,1,89.47,2,,v South Africa,Auckland,24 Mar 2015,
RG Sharma (IND),34,83,48,1,2,70.83,2,,v Australia,Sydney,26 Mar 2015,
AU Rashid (ENG),34,42,26,6,0,130.76,2,,v New Zealand,The Oval,12 Jun 2015,
SW Billings (ENG),34,30,16,6,0,212.50,1,,v New Zealand,Southampton,14 Jun 2015,
Nasir Hossain (BAN),34,35,27,3,1,125.92,1,,v India,Mirpur,18 Jun 2015,
SK Raina (IND),34,57,55,3,0,61.81,1,,v Bangladesh,Mirpur,21 Jun 2015,
Soumya Sarkar (BAN),34,70,47,2,1,72.34,2,,v India,Mirpur,21 Jun 2015,
Litton Das (BAN),34,82,50,3,0,68.00,2,,v India,Mirpur,24 Jun 2015,
AM Rahane (IND),34,80,49,5,0,69.38,1,,v Zimbabwe,Harare,10 Jul 2015,
Q de Kock (SA),34,35,36,5,0,94.44,2,,v India,Indore,14 Oct 2015,
MS Dhoni (IND),34,64,42,1,1,80.95,2,,v Australia,Sydney,23 Jan 2016,
F du Plessis (SA),34,-,38,4,0,89.47,2,,v England,Johannesburg,12 Feb 2016,
GJ Bailey (AUS),34,48,46,5,0,73.91,2,,v West Indies,Bridgetown,21 Jun 2016,
JJ Roy (ENG),34,52,34,4,0,100.00,1,,v Sri Lanka,Cardiff,2 Jul 2016,
Mohammad Nawaz (3) (PAK),34,52,36,2,0,94.44,2,,v England,Nottingham,30 Aug 2016,
JDS Neesham (NZ),34,62,36,5,0,94.44,2,,v Australia,Sydney,4 Dec 2016,
MJ Guptill (NZ),34,66,40,3,0,85.00,2,,v Australia,Melbourne,9 Dec 2016,
Babar Azam (PAK),34,75,49,5,0,69.38,2,,v Australia,Melbourne,15 Jan 2017,
CR Woakes (ENG),34,35,19,4,1,178.94,1,,v India,Eden Gardens,22 Jan 2017,
Q de Kock (SA),34,56,40,4,0,85.00,2,,v Sri Lanka,Gqeberha,28 Jan 2017,
HM Amla (SA),34,91,54,4,0,62.96,2,,v Sri Lanka,Johannesburg,4 Feb 2017,
DG Brownlie (NZ),34,57,44,6,0,77.27,1,,v South Africa,Christchurch,22 Feb 2017,
JP Duminy (SA),34,44,44,3,0,77.27,2,,v New Zealand,Christchurch,22 Feb 2017,
BA Stokes (ENG),34,-,20,4,1,170.00,1,,v West Indies,Bridgetown,9 Mar 2017,
Q de Kock (SA),34,64,39,4,0,87.17,2,,v England,Lord's,29 May 2017,
Azhar Ali (PAK),34,99,50,2,1,68.00,2,,v Sri Lanka,Cardiff,12 Jun 2017,
BA Stokes (ENG),34,91,64,0,0,53.12,1,,v Pakistan,Cardiff,14 Jun 2017,
CR Woakes (ENG),34,58,34,1,1,100.00,1,,v West Indies,Bristol,24 Sep 2017,
C Munro (NZ),34,26,24,7,0,141.66,1,,v Pakistan,Wellington,19 Jan 2018,
GJ Maxwell (AUS),34,-,39,3,1,87.17,2,,v England,Perth,28 Jan 2018,
TD Paine (AUS),34,-,44,2,1,77.27,2,,v England,Perth,28 Jan 2018,
Q de Kock (SA),34,64,49,4,0,69.38,1,,v India,Durban,1 Feb 2018,
S Dhawan (IND),34,30,23,8,0,147.82,1,,v South Africa,Gqeberha,13 Feb 2018,
AL Phehlukwayo (SA),34,64,42,2,2,80.95,1,,v India,Centurion,16 Feb 2018,
JJ Roy (ENG),34,-,32,3,0,106.25,2,,v Scotland,Edinburgh,10 Jun 2018,
Mohammad Shahzad (AFG),34,-,47,4,1,72.34,1,,v Sri Lanka,Abu Dhabi,17 Sep 2018,
NM Coulter-Nile (AUS),34,-,31,5,1,109.67,1,,v South Africa,Perth,4 Nov 2018,
Imam-ul-Haq (PAK),34,-,46,3,0,73.91,2,,v New Zealand,Abu Dhabi,7 Nov 2018,
UT Khawaja (AUS),34,-,51,2,0,66.66,1,,v India,Melbourne,18 Jan 2019,
TWM Latham (NZ),34,39,32,3,1,106.25,2,,v India,Mount Maunganui,26 Jan 2019,
RR Hendricks (SA),34,38,33,3,1,103.03,2,,v Pakistan,Cape Town,30 Jan 2019,
KM Jadhav (IND),34,55,45,3,0,75.55,1,,v New Zealand,Wellington,3 Feb 2019,
JM Bairstow (ENG),34,48,33,6,0,103.03,2,,v West Indies,Bridgetown,20 Feb 2019,
JC Buttler (ENG),34,59,33,2,2,103.03,2,,v West Indies,Bridgetown,22 Feb 2019,
Hazratullah Zazai (AFG),34,-,33,3,2,103.03,1,,v Ireland,Dehradun,5 Mar 2019,
Haris Sohail (PAK),34,-,46,5,0,73.91,1,,v Australia,Sharjah,24 Mar 2019,
JC Buttler (ENG),34,40,34,4,1,100.00,1,,v Pakistan,Leeds,19 May 2019,
AL Phehlukwayo (SA),34,68,61,2,1,55.73,1,,v India,Southampton,5 Jun 2019,
MS Dhoni (IND),34,69,46,2,0,73.91,2,,v South Africa,Southampton,5 Jun 2019,
Hazratullah Zazai (AFG),34,48,28,5,1,121.42,1,,v New Zealand,Taunton,8 Jun 2019,
AK Markram (SA),34,51,37,6,1,91.89,1,,v Australia,Manchester,6 Jul 2019,
JM Bairstow (ENG),34,88,43,5,0,79.06,2,,v Australia,Birmingham,11 Jul 2019,
Mushfiqur Rahim (BAN),34,81,59,3,0,57.62,1,,v New Zealand,Christchurch,23 Mar 2021,
Rahmat Shah (AFG),34,84,69,3,0,49.27,1,,v Bangladesh,Chattogram,23 Feb 2022,
C Green (AUS),34,60,47,1,1,72.34,1,,v Pakistan,Lahore,2 Apr 2022,
Khushdil Shah (PAK),34,77,43,3,0,79.06,1,,v West Indies,Multan,12 Jun 2022,
Tamim Iqbal (BAN),34,72,52,4,0,65.38,2,,v West Indies,Providence,16 Jul 2022,
MM Ali (ENG),34,65,44,2,2,77.27,1,,v India,Manchester,17 Jul 2022,
KS Williamson (NZ),34,-,50,4,0,68.00,1,,v West Indies,Bridgetown,17 Aug 2022,
H Klaasen (SA),34,69,42,4,0,80.95,1,,v India,Delhi,11 Oct 2022,
RG Sharma (IND),34,49,38,4,2,89.47,1,,v New Zealand,Hyderabad,18 Jan 2023,
MJ Santner (NZ),34,47,29,3,2,117.24,2,,v India,Indore,24 Jan 2023,
WD Parnell (SA),34,54,29,3,1,117.24,2,,v England,Kimberley,1 Feb 2023,
CR Woakes (ENG),34,72,46,2,0,73.91,2,,v Bangladesh,Chattogram,6 Mar 2023,
DJ Mitchell (NZ),34,76,48,1,0,70.83,2,,v Pakistan,Karachi,5 May 2023,
Shubman Gill (IND),34,72,49,5,0,69.38,1,,v West Indies,Bridgetown,29 Jul 2023,
Riaz Hassan (AFG),34,91,66,5,0,51.51,2,,v Pakistan,Colombo (RPS),26 Aug 2023,
TM Head (AUS),34,41,23,4,2,147.82,2,,v England,Lord's,27 Sep 2024,
T de Zorzi (SA),34,60,40,3,1,85.00,2,,v Pakistan,Cape Town,19 Dec 2024,
JC Buttler (ENG),34,40,35,2,0,97.14,1,,v India,Cuttack,9 Feb 2025,
BM Duckett (ENG),34,29,22,8,0,154.54,2,,v India,Ahmedabad,12 Feb 2025,
KS Williamson (NZ),34,66,49,3,1,69.38,2,,v Pakistan,Karachi,14 Feb 2025,
V Kohli (IND),33*,49,41,5,0,80.48,2,,v U.A.E.,W.A.C.A,28 Feb 2015,
AM Rahane (IND),33*,44,28,6,0,117.85,2,,v Ireland,Hamilton,10 Mar 2015,
F Behardien (SA),33*,43,36,0,1,91.66,1,,v India,Rajkot,18 Oct 2015,
Wahab Riaz (PAK),33*,49,35,0,3,94.28,1,,v England,Sharjah,17 Nov 2015,
F du Plessis (SA),33*,37,29,4,1,113.79,2,,v England,Centurion,9 Feb 2016,
EJG Morgan (ENG),33*,70,49,2,0,67.34,2,,v Pakistan,Southampton,24 Aug 2016,
RR Rossouw (SA),33*,74,45,5,0,73.33,2,,v Australia,Gqeberha,9 Oct 2016,
AU Rashid (ENG),33*,75,44,1,1,75.00,2,,v Bangladesh,Mirpur,9 Oct 2016,
F Behardien (SA),33*,-,24,4,0,137.50,1,,v Bangladesh,East London,22 Oct 2017,
V Kohli (IND),33*,57,29,6,0,113.79,2,,v West Indies,Thiruvananthapuram,1 Nov 2018,
SM Curran (ENG),33*,32,19,2,3,173.68,1,,v Bangladesh,Mirpur,3 Mar 2023,
LS Livingstone (ENG),33*,28,20,2,3,165.00,2,,v Australia,Chester-le-Street,24 Sep 2024,
Umar Akmal (PAK),33,53,42,3,0,78.57,1,,v Zimbabwe,Brisbane,1 Mar 2015,
Nawroz Mangal (AFG),33,54,35,2,2,94.28,2,,v Australia,W.A.C.A,4 Mar 2015,
V Kohli (IND),33,51,36,5,0,91.66,2,,v West Indies,W.A.C.A,6 Mar 2015,
KS Williamson (NZ),33,58,45,4,0,73.33,2,,v Afghanistan,Napier,8 Mar 2015,
KS Williamson (NZ),33,48,35,5,0,94.28,1,,v West Indies,Wellington,21 Mar 2015,
L Ronchi (NZ),33,22,16,2,3,206.25,1,,v England,The Oval,12 Jun 2015,
Azhar Ali (PAK),33,52,28,4,0,117.85,2,,v Sri Lanka,Colombo (RPS),22 Jul 2015,
C Munro (NZ),33,64,32,3,1,103.12,2,,v South Africa,Centurion,19 Aug 2015,
DA Miller (SA),33,57,41,4,0,80.48,1,,v India,Rajkot,18 Oct 2015,
Sabbir Rahman (BAN),33,62,40,4,0,82.50,1,,v Zimbabwe,Mirpur,9 Nov 2015,
CR Woakes (ENG),33,72,49,1,0,67.34,1,,v Pakistan,Abu Dhabi,11 Nov 2015,
Mohammad Nabi (AFG),33,-,36,4,0,91.66,2,,v Zimbabwe,Sharjah,29 Dec 2015,
MR Marsh (AUS),33,62,42,3,0,78.57,1,,v India,Canberra,20 Jan 2016,
GJ Bailey (AUS),33,74,60,3,0,55.00,2,,v New Zealand,Hamilton,8 Feb 2016,
CR Woakes (ENG),33,-,38,3,0,86.84,1,,v South Africa,Johannesburg,12 Feb 2016,
KL Rahul (IND),33,66,50,4,0,66.00,2,,v Zimbabwe,Harare,13 Jun 2016,
Asghar Afghan (AFG),33,-,49,2,2,67.34,1,,v Ireland,Belfast,14 Jul 2016,
JM Bairstow (ENG),33,48,36,4,0,91.66,1,,v Pakistan,Cardiff,4 Sep 2016,
Azhar Ali (PAK),33,63,37,3,0,89.18,2,,v England,Cardiff,4 Sep 2016,
AJ Finch (AUS),33,57,28,4,2,117.85,1,,v South Africa,Centurion,30 Sep 2016,
Nawroz Mangal (AFG),33,59,38,4,0,86.84,2,,v Bangladesh,Mirpur,1 Oct 2016,
MS Wade (AUS),33,46,33,5,0,100.00,2,,v South Africa,Johannesburg,2 Oct 2016,
F du Plessis (SA),33,37,32,4,0,103.12,2,,v Australia,Durban,5 Oct 2016,
AM Rahane (IND),33,59,34,4,2,97.05,2,,v New Zealand,Dharamsala,16 Oct 2016,
Babar Azam (PAK),33,70,46,3,0,71.73,2,,v Australia,Brisbane,13 Jan 2017,
Mohammad Nabi (AFG),33,52,33,1,1,100.00,1,,v Zimbabwe,Harare,19 Feb 2017,
MM Ali (ENG),33,32,19,5,0,173.68,1,,v South Africa,Southampton,27 May 2017,
Mohammad Hafeez (PAK),33,59,43,2,0,76.74,2,,v India,Birmingham,4 Jun 2017,
Q de Kock (SA),33,60,49,2,0,67.34,1,,v Pakistan,Birmingham,7 Jun 2017,
MJ Guptill (NZ),33,61,35,4,1,94.28,1,,v Bangladesh,Cardiff,9 Jun 2017,
EJG Morgan (ENG),33,60,53,4,0,62.26,1,,v Pakistan,Cardiff,14 Jun 2017,
MK Pandey (IND),33,40,25,3,1,132.00,2,,v Australia,Bengaluru,28 Sep 2017,
EJG Morgan (ENG),33,-,61,1,0,54.09,1,,v Australia,Adelaide,26 Jan 2018,
MM Ali (ENG),33,-,50,3,0,66.00,1,,v Australia,Adelaide,26 Jan 2018,
HM Amla (SA),33,59,40,4,0,82.50,2,,v India,Johannesburg,10 Feb 2018,
Rahmat Shah (AFG),33,37,35,5,0,94.28,2,,v Ireland,Belfast,31 Aug 2018,
Babar Azam (PAK),33,-,36,3,1,91.66,2,,v Hong Kong,Dubai (DICS),16 Sep 2018,
KD Karthik (IND),33,-,38,3,0,86.84,1,,v Hong Kong,Dubai (DICS),18 Sep 2018,
MS Dhoni (IND),33,-,37,3,0,89.18,2,,v Bangladesh,Dubai (DICS),21 Sep 2018,
Mushfiqur Rahim (BAN),33,-,52,2,1,63.46,1,,v Afghanistan,Abu Dhabi,23 Sep 2018,
Soumya Sarkar (BAN),33,-,45,1,1,73.33,1,,v India,Dubai (DICS),28 Sep 2018,
AT Carey (AUS),33,-,71,2,0,46.47,1,,v South Africa,Perth,4 Nov 2018,
HM Nicholls (NZ),33,-,63,1,0,52.38,1,,v Pakistan,Abu Dhabi,9 Nov 2018,
Q de Kock (SA),33,61,36,4,0,91.66,2,,v Pakistan,Centurion,25 Jan 2019,
JM Vince (ENG),33,34,32,7,0,103.12,1,,v Pakistan,Leeds,19 May 2019,
Soumya Sarkar (BAN),33,67,38,4,0,86.84,2,,v India,Birmingham,2 Jul 2019,
Rahmat Shah (AFG),33,-,54,4,0,61.11,2,,v West Indies,Lucknow,9 Nov 2019,
AJ Finch (AUS),33,-,48,3,0,68.75,2,,v India,Rajkot,17 Jan 2020,
Khushdil Shah (PAK),33,45,48,4,0,68.75,2,,v Zimbabwe,Rawalpindi,3 Nov 2020,
Shubman Gill (IND),33,-,39,3,1,84.61,1,,v Australia,Canberra,2 Dec 2020,
Shadab Khan (PAK),33,57,30,2,1,110.00,2,,v South Africa,Centurion,2 Apr 2021,
Mahmudullah (BAN),33,79,52,0,1,63.46,1,,v Zimbabwe,Harare,16 Jul 2021,
Washington Sundar (IND),33,71,34,2,1,97.05,1,,v West Indies,Ahmedabad,11 Feb 2022,
GJ Maxwell (AUS),33,23,18,3,1,183.33,1,,v Sri Lanka,Colombo (RPS),19 Jun 2022,
Tamim Iqbal (BAN),33,37,25,4,1,132.00,2,,v West Indies,Providence,10 Jul 2022,
LS Livingstone (ENG),33,49,33,2,2,100.00,1,,v India,Lord's,14 Jul 2022,
FH Allen (NZ),33,40,28,7,0,117.85,1,,v Ireland,Dublin (Malahide),15 Jul 2022,
H Klaasen (SA),33,50,40,2,0,82.50,2,,v England,Manchester,22 Jul 2022,
DJ Hooda (IND),33,61,36,2,0,91.66,2,,v West Indies,Port of Spain,24 Jul 2022,
S Dhawan (IND),33,34,21,4,0,157.14,2,,v Zimbabwe,Harare,20 Aug 2022,
Shubman Gill (IND),33,62,34,6,0,97.05,2,,v Zimbabwe,Harare,20 Aug 2022,
SN Thakur (IND),33,55,31,5,0,106.45,2,,v South Africa,Lucknow,6 Oct 2022,
JJ Roy (ENG),33,62,48,6,0,68.75,2,,v Australia,Melbourne,22 Nov 2022,
TM Head (AUS),33,56,31,4,2,106.45,1,,v India,Chennai,22 Mar 2023,
WA Young (NZ),33,67,41,3,0,80.48,2,,v Pakistan,Karachi,3 May 2023,
Fakhar Zaman (PAK),33,90,64,5,0,51.56,2,,v New Zealand,Karachi,7 May 2023,
Rahmat Shah (AFG),33,66,57,5,0,57.89,2,,v Bangladesh,Lahore,3 Sep 2023,
TM Head (AUS),33,45,28,6,1,117.85,2,,v South Africa,Bloemfontein,7 Sep 2023,
MM Ali (ENG),33,53,32,3,1,103.12,1,,v New Zealand,Southampton,10 Sep 2023,
WA Young (NZ),33,51,39,5,0,84.61,2,,v England,Southampton,10 Sep 2023,
Ishan Kishan (IND),33,82,61,1,1,54.09,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,
JM Bairstow (ENG),33,57,35,4,1,94.28,1,,v New Zealand,Ahmedabad,5 Oct 2023,
SS Iyer (IND),33,32,29,6,0,113.79,2,,v New Zealand,Dharamsala,22 Oct 2023,
WA Young (NZ),33,50,37,5,0,89.18,2,,v South Africa,Pune,1 Nov 2023,
Towhid Hridoy (BAN),33,48,27,2,1,122.22,2,,v New Zealand,Dunedin,17 Dec 2023,
AL Phehlukwayo (SA),33,73,49,3,2,67.34,1,,v India,Johannesburg,17 Dec 2023,
C Green (AUS),33,69,41,5,1,80.48,1,,v West Indies,Sydney,4 Feb 2024,
AR Patel (IND),33,66,57,2,1,57.89,2,,v Sri Lanka,Colombo (RPS),2 Aug 2024,
Soumya Sarkar (BAN),33,58,45,6,0,73.33,2,,v Afghanistan,Sharjah,6 Nov 2024,
T de Zorzi (SA),33,43,25,6,0,132.00,1,,v Pakistan,Paarl,17 Dec 2024,
Agha Salman (PAK),33,38,30,3,1,110.00,1,,v South Africa,Cape Town,19 Dec 2024,
Yasir Shah (PAK),32*,36,22,3,0,145.45,2,,v Zimbabwe,Harare,3 Oct 2015,
M Morkel (SA),32*,-,47,3,0,68.08,2,,v West Indies,Bridgetown,24 Jun 2016,
Mahmudullah (BAN),32*,45,22,4,0,145.45,1,,v Afghanistan,Mirpur,1 Oct 2016,
V Kohli (IND),32*,-,47,1,0,68.08,1,,v West Indies,Port of Spain,23 Jun 2017,
B Kumar (IND),32*,45,30,5,0,106.66,1,,v Australia,Chennai,17 Sep 2017,
JP Faulkner (AUS),32*,41,25,1,1,128.00,2,,v India,Chennai,17 Sep 2017,
Aamer Yamin (PAK),32*,43,27,3,1,118.51,2,,v New Zealand,Wellington,19 Jan 2018,
JE Root (ENG),32*,-,57,0,0,56.14,2,,v Sri Lanka,Pallekele,20 Oct 2018,
HE van der Dussen (SA),32*,63,43,2,0,74.41,2,,v Sri Lanka,Johannesburg,3 Mar 2019,
Mushfiqur Rahim (BAN),32*,38,25,2,2,128.00,2,,v West Indies,Dublin,7 May 2019,
